RowName,ExchangeID,ItemId,Name,Merchant,ExchangeType,Order,UnlockLv,LabelNo1,LabelNo2,CostItem1ID,CostItem1Num,CostItem2ID,CostItem2Num,CostItem3ID,CostItem3Num,CostItem4ID,CostItem4Num,CostItem5ID,CostItem5Num,CostItem6ID,CostItem6Num,CostItem7ID,CostItem7Num,CostItem8ID,CostItem8Num,CostItem9ID,CostItem9Num,CostItem10ID,CostItem10Num,MinHourlySellingNum,MaxHourlySellingNum,BaseChangeRatio,DefaultHourlySellingNum,ForSale,CanBuy,PurchaseLimit,IsPanicBuying,IsMain,RowDescription
1001000309101,1001000309101,10010003091,AR57,1,0,1003,0,10011,10012,17660000010,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,True,3,False,True,None
1001000008601,1001000008601,10010000086,K416突击步枪,1,0,1004,0,10011,10012,17660000010,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,True,3,False,True,None
1001000089001,1001000089001,10010000890,AS Val突击步枪,1,0,1005,0,10011,10012,17660000010,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,True,3,False,True,None
1001000002501,1001000002501,10010000025,ASh-12战斗步枪,1,0,1006,0,10011,10012,17660000010,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,True,3,False,True,None
1001000010701,1001000010701,10010000107,M7战斗步枪,1,0,1007,0,10011,10012,17660000010,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,True,3,False,True,None
1001000162701,1001000162701,10010001627,K437突击步枪,1,0,1008,0,10011,10012,17660000010,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,True,3,False,True,None
1001000177901,1001000177901,10010001779,AM17紧凑突击步枪,1,0,1009,0,10011,10012,17660000010,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,True,3,False,True,None
1001000185401,1001000185401,10010001854,MK47突击步枪,1,0,1010,0,10011,10012,17660000010,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,True,3,False,True,None
1001000008901,1001000008901,10010000089,AUG突击步枪,1,0,1011,0,10011,10012,17660000010,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,True,3,False,True,None
1001000022301,1001000022301,10010000223,AK-12突击步枪,1,0,1012,0,10011,10012,17660000010,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,True,3,False,True,None
