RowName,BuffID,BuffDebuffType,BuffDisableTagArray,IsDisplay,DisplayName,Description,IsInstant,Duration,DurationMultAttr,BuffApplyAttributeType,BasicBuffIDArray,TagContainer,BuffType,StackType,bOnlyRefreshTime,StackPart,MaxStackCount,RemoveBuffTypeArray,RemoveBuffNum,RestrainBuffTypeArray,MaxValidNum,CancelBuffTypeArray,ActionConfigs,AddBuffsOnRemove,BuffIconPath,HasTriggerCD,TriggerCDTime,AddTips,RemoveTips,Priority,BuffConflictTag,HurtRemove,HurtPauseTime,NeedRemoveSucess,OnlyTipsButNoShowInBuffList,ImmunityType,TriggerCounter,ContinueTime,bDifferTeam,ImmunityBuffId,ReplaceBuffId,RowDescription
300115,300115,ECharacterBuffDebuffType::Unknow,EBuffDisableTag::EDeath; EBuffDisableTag::EImpendingDeath,True,,,False,25,"(AttributeName=, Attribute=, AttributeOwner=)",EBuffApplyAttributeType::Always,300115,(),None,EStackType::Unable,False,ECharacterPart::None,0,,0,,-1,,,,"(AssetPath=/Game/UI/UIAtlas/System/Buffer/BakedSprite/Buffer_Icon_0180.Buffer_Icon_0180, SubPath=)",False,0,,,0,,False,0,False,False,EBuffImmunityType::None,0,0,False,0,0,None
103007,103007,ECharacterBuffDebuffType::Buff,EBuffDisableTag::EImpendingDeath; EBuffDisableTag::EDeath,True,,,False,2,"(AttributeName=, Attribute=, AttributeOwner=)",EBuffApplyAttributeType::Always,103007,(),None,EStackType::Refresh,True,,0,,-1,smoke; AbilitySupport; 300013; 300014; 300017; 300018; Bleeding; 300036; 103008,-1,,,,"(AssetPath=/Game/UI/UIAtlas/System/Buffer/BakedSprite/Buffer_Icon_0124.Buffer_Icon_0124, SubPath=)",False,0,,,0,,False,2,False,False,EBuffImmunityType::None,0,0,False,0,0,None
103008,103008,ECharacterBuffDebuffType::Buff,EBuffDisableTag::EImpendingDeath; EBuffDisableTag::EDeath,True,,,False,10,"(AttributeName=, Attribute=, AttributeOwner=)",EBuffApplyAttributeType::Always,103008,(),None,EStackType::Refresh,True,,0,,-1,smoke; AbilitySupport; 300013; 300014; 300017; 300018; Bleeding; 300036,-1,,,,"(AssetPath=/Game/UI/UIAtlas/System/Buffer/BakedSprite/Buffer_Icon_0124.Buffer_Icon_0124, SubPath=)",False,0,,,0,,False,2,False,False,EBuffImmunityType::None,0,0,False,0,0,None
103001,103001,ECharacterBuffDebuffType::Buff,,False,,,False,-1,"(AttributeName=, Attribute=, AttributeOwner=)",EBuffApplyAttributeType::Always,,(),C103Talent,EStackType::Unable,False,,0,,0,,-1,,,,"(AssetPath=/Game/UI/UIAtlas/System/Buffer/BakedSprite/Buffer_Icon_0105.Buffer_Icon_0105, SubPath=)",False,0,,,0,,False,0,False,False,EBuffImmunityType::None,0,0,False,0,0,None
103002,103002,ECharacterBuffDebuffType::Buff,,False,,,False,-1,"(AttributeName=, Attribute=, AttributeOwner=)",EBuffApplyAttributeType::Always,,(),C103ButterRescuing,EStackType::Unable,False,,0,,0,3001; 3004; 3005; 1101; 1301; 4001; 4002; 4003; 4004; 8016,-1,,,,"(AssetPath=/Game/UI/UIAtlas/System/Buffer/BakedSprite/Buffer_Icon_0104.Buffer_Icon_0104, SubPath=)",False,0,,,0,,False,0,False,False,EBuffImmunityType::None,0,0,False,0,0,None
103003,103003,ECharacterBuffDebuffType::Buff,,False,,,False,20,"(AttributeName=, Attribute=, AttributeOwner=)",EBuffApplyAttributeType::Always,,(),C103BeButterRescued,EStackType::Unable,False,,0,,0,,-1,,,,"(AssetPath=/Game/UI/UIAtlas/System/Buffer/BakedSprite/Buffer_Icon_0104.Buffer_Icon_0104, SubPath=)",False,0,,,0,,False,0,False,False,EBuffImmunityType::None,0,0,False,0,0,None
103004,103004,ECharacterBuffDebuffType::Buff,EBuffDisableTag::EImpendingDeath; EBuffDisableTag::EDeath,True,,,False,25,"(AttributeName=, Attribute=, AttributeOwner=)",EBuffApplyAttributeType::Always,,(),C103ButterFly,EStackType::Unable,False,,0,,0,Bleeding; Sonitus; 1301; 1210; 4001; 4002; 4003; 4004; 4005; 90102; 90301; 90302; 90501,-1,,,,"(AssetPath=/Game/UI/UIAtlas/System/Buffer/BakedSprite/Buffer_Icon_0184.Buffer_Icon_0184, SubPath=)",False,0,,,0,,False,0,False,False,EBuffImmunityType::None,0,0,False,0,0,None
103005,103005,ECharacterBuffDebuffType::Buff,,False,,,False,-1,"(AttributeName=, Attribute=, AttributeOwner=)",EBuffApplyAttributeType::Always,,(),C103Talent,EStackType::Unable,False,,0,,0,,-1,,,,"(AssetPath=/Game/UI/UIAtlas/System/Buffer/BakedSprite/Buffer_Icon_0172.Buffer_Icon_0172, SubPath=)",False,0,,,0,,False,0,False,False,EBuffImmunityType::None,0,0,False,0,0,None
103006,103006,ECharacterBuffDebuffType::Buff,,False,,,False,1,"(AttributeName=, Attribute=, AttributeOwner=)",EBuffApplyAttributeType::Always,,(),C103SelfCure,EStackType::Unable,False,,0,,0,smoke; AbilitySupport; 300013; 300014; 300017; 300018; Bleeding; 300036,-1,,,,"(AssetPath=/Game/UI/UIAtlas/System/Buffer/BakedSprite/Buffer_Icon_0124.Buffer_Icon_0124, SubPath=)",False,0,,,0,,False,0,False,False,EBuffImmunityType::None,0,0,False,0,0,None
103009,103009,ECharacterBuffDebuffType::Buff,,False,,,False,3,"(AttributeName=, Attribute=, AttributeOwner=)",EBuffApplyAttributeType::Always,103009,(),None,EStackType::Refresh,False,,0,,0,102017,-1,,,,"(AssetPath=/Game/UI/UIAtlas/System/Buffer/BakedSprite/Buffer_Icon_0108.Buffer_Icon_0108, SubPath=)",False,0,,,0,,False,0,False,False,EBuffImmunityType::None,0,0,False,0,0,None
