RowName,MatchModeID,MapName,ModuleName,Desc,GameMode,GameRule,MapID,MatchSubMode,TeamMode,RaidID,RowDescription
0,0,,,,1,0,0,0,3,0,None
150001,150001,,,,1,5,24,21,3,1001,None
150002,150002,,,,1,5,24,22,3,1002,None
150003,150003,,,,1,5,24,23,3,1003,None
150004,150004,,,,1,3,18,21,3,2001,None
150005,150005,,,,1,3,18,22,3,2002,None
150006,150006,,,,1,3,18,23,3,2003,None
14036103,14036103,,,,1,4,36,10,3,0,None
14055103,14055103,,,,1,4,55,10,3,0,None
14076101,14076101,,,,1,4,76,10,1,0,None
14076103,14076103,,,,1,4,76,10,3,0,None
14077101,14077101,,,,1,4,77,10,1,0,None
14080101,14080101,,,,1,4,80,10,1,0,None
14082103,14082103,,,,1,4,82,10,3,0,None
14666101,14666101,,,,1,4,666,10,1,0,None
14667101,14667101,,,,1,4,667,10,1,0,None
27002514,27002514,,,,2,7,2,51,4,0,None
27015514,27015514,,,,2,7,15,51,4,0,None
31100003,31100003,,,,3,1,100,0,3,0,None
141999101,141999101,,,,1,4,1999,10,1,0,None
14002103,14002103,,,,1,4,2,10,3,0,None
14052103,14052103,,,,1,4,52,10,3,0,None
14059103,14059103,,,,1,4,59,10,3,0,None
14069103,14069103,,,,1,4,69,10,3,0,None
14072103,14072103,,,,1,4,72,10,3,0,None
141901103,141901103,,,,1,4,1901,10,3,0,None
141901201,141901201,,,,1,4,1901,20,1,0,None
141901203,141901203,,,,1,4,1901,20,3,0,None
141902113,141902113,,,,1,4,1902,11,3,0,None
141911101,141911101,,,,1,4,1911,10,1,0,None
141912111,141912111,,,,1,4,1912,11,1,0,None
141919103,141919103,,,,1,4,1919,10,3,0,None
142201103,142201103,,,,1,4,2201,10,3,0,None
142201203,142201203,,,,1,4,2201,20,3,0,None
142202113,142202113,,,,1,4,2202,11,3,0,None
142211101,142211101,,,,1,4,2211,10,1,0,None
142211201,142211201,,,,1,4,2211,20,1,0,None
142212111,142212111,,,,1,4,2212,11,1,0,None
142209103,142209103,,,,1,4,2209,10,3,0,None
143901111,143901111,,,,1,4,3901,11,1,0,None
143901113,143901113,,,,1,4,3901,11,3,0,None
143901201,143901201,,,,1,4,3901,20,1,0,None
143901203,143901203,,,,1,4,3901,20,3,0,None
143902121,143902121,,,,1,4,3902,12,1,0,None
143902123,143902123,,,,1,4,3902,12,3,0,None
143909113,143909113,,,,1,4,3909,11,3,0,None
148101101,148101101,,,,1,4,8101,10,1,0,None
148101103,148101103,,,,1,4,8101,10,3,0,None
148101201,148101201,,,,1,4,8101,20,1,0,None
148101203,148101203,,,,1,4,8101,20,3,0,None
148102111,148102111,,,,1,4,8102,11,1,0,None
148102113,148102113,,,,1,4,8102,11,3,0,None
