RowName,Key,TypeID,PresetID,Position,ItemID,ItemNum,RowDescription
1,1,1,1,114,10070001977,1,None
2,2,1,1,101,11010002004,1,None
3,3,1,1,105,11050002003,1,None
4,4,1,1,107,11070004004,1,None
5,5,1,1,108,11080003004,1,None
6,6,1,1,107001,14020000006,1,None
7,7,1,1,107001,14030000003,1,None
8,8,1,1,107001,14050000003,1,None
9,9,1,1,107001,14040000001,1,None
10,10,1,1,199997,37200300001,240,None
11,11,1,1,108001,14060000004,1,None
12,12,1,1,108001,14060000003,1,None
13,13,1,2,111,10020001990,1,None
14,14,1,2,101,11010002004,1,None
15,15,1,2,105,11050002003,1,None
16,16,1,2,107,11070004004,1,None
17,17,1,2,108,11080003004,1,None
18,18,1,2,107001,14020000006,1,None
19,19,1,2,107001,14030000003,1,None
20,20,1,2,107001,14050000003,1,None
21,21,1,2,107001,14040000001,1,None
22,22,1,2,199997,37200300001,240,None
23,23,1,2,108001,14060000004,1,None
24,24,1,2,108001,14060000003,1,None
25,25,2,1,111,10150001920,1,None
26,26,2,1,101,11010002004,1,None
27,27,2,1,105,11050002003,1,None
28,28,2,1,107,11070004004,1,None
29,29,2,1,108,11080003004,1,None
30,30,2,1,107001,14020000006,1,None
31,31,2,1,107001,14030000003,1,None
32,32,2,1,107001,14050000003,1,None
33,33,2,1,107001,14040000001,1,None
34,34,2,1,199997,37270300001,100,None
35,35,2,1,108001,14060000004,1,None
36,36,2,1,108001,14060000003,1,None
37,37,2,2,114,10070001978,1,None
38,38,2,2,101,11010002004,1,None
39,39,2,2,105,11050002003,1,None
40,40,2,2,107,11070004004,1,None
41,41,2,2,108,11080003004,1,None
42,42,2,2,107001,14020000006,1,None
43,43,2,2,107001,14030000003,1,None
44,44,2,2,107001,14050000003,1,None
45,45,2,2,107001,14040000001,1,None
46,46,2,2,199997,37230300001,100,None
47,47,2,2,108001,14060000004,1,None
48,48,2,2,108001,14060000003,1,None
49,49,2,3,111,10050001987,1,None
50,50,2,3,101,11010002004,1,None
51,51,2,3,105,11050002003,1,None
52,52,2,3,107,11070004004,1,None
53,53,2,3,108,11080003004,1,None
54,54,2,3,107001,14020000006,1,None
55,55,2,3,107001,14030000003,1,None
56,56,2,3,107001,14050000003,1,None
57,57,2,3,107001,14040000001,1,None
58,58,2,3,199997,37170300001,100,None
59,59,2,3,108001,14060000004,1,None
60,60,2,3,108001,14060000003,1,None
61,61,3,1,111,10030001964,1,None
62,62,3,1,101,11010002004,1,None
63,63,3,1,105,11050002003,1,None
64,64,3,1,107,11070004004,1,None
65,65,3,1,108,11080003004,1,None
66,66,3,1,107001,14020000006,1,None
67,67,3,1,107001,14030000003,1,None
68,68,3,1,107001,14050000003,1,None
69,69,3,1,107001,14040000001,1,None
70,70,3,1,199997,37250300001,100,None
71,71,3,1,108001,14060000004,1,None
72,72,3,1,108001,14060000003,1,None
73,73,3,2,111,10030001965,1,None
74,74,3,2,101,11010002004,1,None
75,75,3,2,105,11050002003,1,None
76,76,3,2,107,11070004004,1,None
77,77,3,2,108,11080003004,1,None
78,78,3,2,107001,14020000006,1,None
79,79,3,2,107001,14030000003,1,None
80,80,3,2,107001,14050000003,1,None
81,81,3,2,107001,14040000001,1,None
82,82,3,2,199997,37250300001,100,None
83,83,3,2,108001,14060000004,1,None
84,84,3,2,108001,14060000003,1,None
85,85,4,1,111,10020001991,1,None
86,86,4,1,101,11010004004,1,None
87,87,4,1,105,11050004004,1,None
88,88,4,1,107,11070004004,1,None
89,89,4,1,108,11080003004,1,None
90,90,4,1,107001,14020000006,1,None
91,91,4,1,107001,14030000003,1,None
92,92,4,1,107001,14050000003,1,None
93,93,4,1,107001,14040000001,1,None
94,94,4,1,199997,37200400001,240,None
95,95,4,1,108001,14060000004,1,None
96,96,4,1,108001,14060000003,1,None
97,97,4,2,111,10020001992,1,None
98,98,4,2,101,11010004004,1,None
99,99,4,2,105,11050004004,1,None
100,100,4,2,107,11070004004,1,None
101,101,4,2,108,11080003004,1,None
102,102,4,2,107001,14020000006,1,None
103,103,4,2,107001,14030000003,1,None
104,104,4,2,107001,14050000003,1,None
105,105,4,2,107001,14040000001,1,None
106,106,4,2,199997,37190400001,240,None
107,107,4,2,108001,14060000004,1,None
108,108,4,2,108001,14060000003,1,None
109,109,4,3,111,10020001993,1,None
110,110,4,3,101,11010004004,1,None
111,111,4,3,105,11050004004,1,None
112,112,4,3,107,11070004004,1,None
113,113,4,3,108,11080003004,1,None
114,114,4,3,107001,14020000006,1,None
115,115,4,3,107001,14030000003,1,None
116,116,4,3,107001,14050000003,1,None
117,117,4,3,107001,14040000001,1,None
118,118,4,3,199997,37200400001,240,None
119,119,4,3,108001,14060000004,1,None
120,120,4,3,108001,14060000003,1,None
121,121,4,4,111,10030002019,1,None
122,122,4,4,101,11010004004,1,None
123,123,4,4,105,11050004004,1,None
124,124,4,4,107,11070004004,1,None
125,125,4,4,108,11080003004,1,None
126,126,4,4,107001,14020000006,1,None
127,127,4,4,107001,14030000003,1,None
128,128,4,4,107001,14050000003,1,None
129,129,4,4,107001,14040000001,1,None
130,130,4,4,199997,37250400003,100,None
131,131,4,4,108001,14060000004,1,None
132,132,4,4,108001,14060000003,1,None
133,133,5,1,111,10010003001,1,None
134,134,5,1,101,11010004002,1,None
135,135,5,1,105,11050004007,1,None
136,136,5,1,107,11070004004,1,None
137,137,5,1,108,11080003004,1,None
138,138,5,1,107001,14020000006,1,None
139,139,5,1,107001,14030000003,1,None
140,140,5,1,107001,14050000003,1,None
141,141,5,1,107001,14040000001,1,None
142,142,5,1,199997,37130400001,240,None
143,143,5,1,108001,14060000004,1,None
144,144,5,1,108001,14060000003,1,None
145,145,5,2,111,10010003002,1,None
146,146,5,2,101,11010004002,1,None
147,147,5,2,105,11050004007,1,None
148,148,5,2,107,11070004004,1,None
149,149,5,2,108,11080003004,1,None
150,150,5,2,107001,14020000006,1,None
151,151,5,2,107001,14030000003,1,None
152,152,5,2,107001,14050000003,1,None
153,153,5,2,107001,14040000001,1,None
154,154,5,2,199997,37170400001,240,None
155,155,5,2,108001,14060000004,1,None
156,156,5,2,108001,14060000003,1,None
157,157,5,3,111,10010003003,1,None
158,158,5,3,101,11010004002,1,None
159,159,5,3,105,11050004007,1,None
160,160,5,3,107,11070004004,1,None
161,161,5,3,108,11080003004,1,None
162,162,5,3,107001,14020000006,1,None
163,163,5,3,107001,14030000003,1,None
164,164,5,3,107001,14050000003,1,None
165,165,5,3,107001,14040000001,1,None
166,166,5,3,199997,37100400001,240,None
167,167,5,3,108001,14060000004,1,None
168,168,5,3,108001,14060000003,1,None
169,169,5,4,111,10040001991,1,None
170,170,5,4,101,11010004002,1,None
171,171,5,4,105,11050004007,1,None
172,172,5,4,107,11070004004,1,None
173,173,5,4,108,11080003004,1,None
174,174,5,4,107001,14020000006,1,None
175,175,5,4,107001,14030000003,1,None
176,176,5,4,107001,14050000003,1,None
177,177,5,4,107001,14040000001,1,None
178,178,5,4,199997,37100400001,240,None
179,179,5,4,108001,14060000004,1,None
180,180,5,4,108001,14060000003,1,None
181,181,6,1,111,10060001703,1,None
182,182,6,1,101,11010004003,1,None
183,183,6,1,105,11050004001,1,None
184,184,6,1,107,11070004004,1,None
185,185,6,1,108,11080003004,1,None
186,186,6,1,107001,14020000006,1,None
187,187,6,1,107001,14030000003,1,None
188,188,6,1,107001,14050000003,1,None
189,189,6,1,107001,14040000001,1,None
190,190,6,1,199997,37180500001,100,None
191,191,6,1,108001,14060000004,1,None
192,192,6,1,108001,14060000003,1,None
193,193,6,1,114,10070001977,1,None
