RowName,ItemId,SwitchWhenAmmoEmpty,RowDescription
24010000001,24010000001,False,None
24000000001,24000000001,False,None
24000000002,24000000002,False,None
21010000001,21010000001,False,None
21010000002,21010000002,False,None
21020100001,21020100001,False,None
25010000001,25010000001,False,None
18080000001,18080000001,False,None
18080000004,18080000004,False,None
21020300001,21020300001,False,None
18070000030,18070000030,False,None
18080000005,18080000005,False,None
18060000030,18060000030,False,None
21020300005,21020300005,False,None
21020300004,21020300004,False,None
21020300003,21020300003,False,None
21020300006,21020300006,False,None
18080000010,18080000010,False,None
18130000001,18130000001,False,None
18130000002,18130000002,False,None
