---,ItemId,RecId,DescId,Name
10010001342,10010001342,18010000015,10010001342,AUG-战术迷彩
10010000014,10010000014,18010000008,10010000014,QBZ95标准预设
10010000018,10010000018,18010000011,10010000018,QBZ-17标准预设
10010000019,10010000019,18010000010,10010000019,AKS74U标准预设
10070000025,10070000025,18070000003,10070000019,.357左轮武器库初级预设
10060000001,10060000001,18060000007,10060000001,SV98M标准预设
10060000003,10060000003,18060000001,10060000003,CSLR5标准预设
10070000002,10070000002,18070000002,10070000002,CF98-A标准预设
10070000019,10070000019,18070000003,10070000019,.357左轮标准预设
10080000001,10080000001,18080000001,10080000001,RPG-7标准预设
10010000025,10010000025,18010000012,10010000025,Ash-12标准预设
10020000005,10020000005,18020000003,10020000005,Vector标准预设
10100000002,10100000002,18100000001,10100000002,喷枪-液氮罐
10010000055,10010000055,18010000010,10010000019,PVE （1级）AK—74U
10010000067,10010000067,18010000008,10010000014,PVE  (1级） QBZ97A
10010000073,10010000073,18010000011,10010000073,PVE  (1级） QBZ-17
10020000012,10020000012,18020000002,10020000004,P90四轨前握把
10070000022,10070000022,18070000004,10070000022,D50标准预设
10010000087,10010000087,18010000014,10010000087,M16A2标准预设
10010000089,10010000089,18010000015,10010000089,AUG标准预设
10060000008,10060000008,18060000008,10060000008,R93标准预设
10020000015,10020000015,18020000006,10020000015,MP-45标准预设
10050000001,10050000001,18050000001,10050000001,SKS标准预设
10010000006,10010000006,18010000006,10010000012,AK74先进3倍复合瞄具
10010000007,10010000007,18010000006,10010000012,AK74PSO4.5倍瞄具
10010000008,10010000008,18010000006,10010000012,AK74HYP6倍瞄具
10010000030,10010000030,18010000006,10010000012,AK74武器库初级预设
10010000031,10010000031,18010000006,10010000012,AK74武器库中级预设
10010000032,10010000032,18010000006,10010000032,AK74武器库高级预设
10010000033,10010000033,18010000014,10010000087,M16武器库初级预设
10010000034,10010000034,18010000014,10010000087,M16武器库中级预设
10010000035,10010000035,18010000014,10010000087,M16武器库高级预设
10010000036,10010000036,18010000008,10010000014,97M任务预设
10010000037,10010000037,18010000010,10010000037,missionpreset1
10010000903,10010000903,18010000014,10010000903,M16-MS22AI预设1
10010000039,10010000039,18010000011,10010000039,SC17武器库高级预设
10020000016,10020000016,18020000003,10020000005,K15武器库初级预设
10020000017,10020000017,18020000003,10020000005,K15武器库高级预设
10020000018,10020000018,18020000001,10020000001,MP5任务预设1
10020000019,10020000019,18020000001,10020000019,mp5mission
10020000020,10020000020,18020000003,10020000020,missionpreset50009
10020000021,10020000021,18020000006,10020000021,武器库中级预设
10030000003,10030000003,18030000001,10030000003,1014mission
10030000004,10030000004,18030000001,10030000001,M1014武器库高级预设
10030000005,10030000005,18030000002,10030000005,missionpreset41012
10040000002,10040000002,18040000007,10040000002,missionpreset50008
10050000002,10050000002,18050000001,10050000002,SKS武器库初级预设
10050000003,10050000003,18050000001,10050000003,SKS武器库中级预设
10060000009,10060000009,18060000007,10060000009,SVM武器库初级预设
10060000010,10060000010,18060000011,10060000010,武器库中级预设
10070000023,10070000023,18070000002,10070000023,CF98A武器库初级预设
10070000024,10070000024,18070000002,10070000024,CF98A武器库高级预设
10060000011,10060000011,18060000007,10060000011,SVM 1月CE汇报狙击枪
10020000022,10020000022,18020000002,10020000004,P90武器库高级预设2
10010000090,10010000090,18010000014,10010000087,M16 1月CE汇报AR
10040000005,10040000005,18040000001,10040000003,PKM 1月CE汇报LMG
10070000026,10070000026,18070000005,10070000026,G18C标准预设
10010000091,10010000091,18010000008,10010000014,qbz-97 sss
10010000092,10010000092,18010000008,10010000014,qbz-97 sss2
10010000093,10010000093,18010000008,10010000014,qbz-97 sss3
10010000094,10010000094,18010000008,10010000014,qbz-97 sss4
10030000006,10030000006,18030000001,10030000001,M1014 II
10030000007,10030000007,18030000001,10030000001,M1014 III
10030000008,10030000008,18030000001,10030000001,M1014 IV
10050000004,10050000004,18050000002,10050000004,Mini14标准预设
10050000005,10050000005,18050000003,10050000005,VSS标准预设
