RowName,WeaponId,bSoliderSkill,RowDescription
1,18120000001,False,None
2,18120000002,False,None
3,18120000003,False,None
4,18120000004,False,None
5,18120000005,False,None
6,18120000006,False,None
7,18120000007,False,None
8,18990000003,False,None
9,18990000004,False,None
10,18990000005,False,None
11,18990000007,False,None
12,18990000008,False,None
13,18990000013,False,None
14,18990000014,False,None
15,18120000009,False,None
16,18120000010,False,None
17,18120000011,False,None
18,18120000012,False,None
19,18120000013,False,None
20,18120000014,False,None
21,18120000015,False,None
22,18120000016,False,None
23,18120000017,False,None
24,18120000018,False,None
25,18120000019,False,None
26,18120000020,False,None
27,18120000021,False,None
28,18120000022,False,None
29,18120000023,False,None
30,18120000024,False,None
31,18120000025,False,None
32,18120000026,False,None
33,18120000027,False,None
34,18120000028,False,None
35,18120000029,False,None
36,18120000030,False,None
37,18120000031,False,None
38,18120000032,False,None
39,18120000033,False,None
40,18120000034,False,None
41,18120000035,False,None
42,18120000036,False,None
43,18120000037,False,None
44,18120000038,False,None
45,18120000039,False,None
46,18120000040,False,None
47,18120000041,False,None
48,18120000042,False,None
49,18120000043,False,None
50,18120000044,False,None
51,18120000045,False,None
52,18120000046,False,None
53,18120000047,False,None
54,18120000048,False,None
55,18120000049,False,None
56,18120000050,False,None
57,18120000051,False,None
58,18080000017,False,None
59,18120000052,False,None
60,18120000053,False,None
61,18120000054,False,None
62,18120000055,False,None
63,18120000056,False,None
64,18120000057,False,None
65,18120000058,False,None
66,18120000059,False,None
67,18120000060,False,None
68,18120000061,False,None
69,18120000062,False,None
70,18120000063,False,None
