RowName,ID,Name,MapLevelStr,MapName,MapID,Area,LockLocation,LockCoord,Durability,Description,BehindTheDoor,Mechanic,Rank,KeySpawnLocation,ConnectionRelation
15050100001,15050100001,,Dam_Iris,,22,,,"(X=0, Y=0, Z=0)",20,,,0,3,None; None,
15050100002,15050100002,,Dam_Iris,,22,,,"(X=0, Y=0, Z=0)",20,,,0,1,None; None; None,
15050100003,15050100003,,Dam_Iris,,22,,,"(X=0, Y=0, Z=0)",20,,,0,3,None; None,
15050100004,15050100004,,Dam_Iris,,22,,,"(X=0, Y=0, Z=0)",20,,,0,3,None; None; None,
15050100005,15050100005,,Dam_Iris,,22,,,"(X=0, Y=0, Z=0)",20,,,0,3,None; None,
15050100006,15050100006,,Dam_Iris,,22,,,"(X=0, Y=0, Z=0)",20,,,0,3,None; None; None,
15050100007,15050100007,,Dam_Iris,,22,,,"(X=0, Y=0, Z=0)",20,,,0,3,None,
15050100008,15050100008,,Dam_Iris,,22,,,"(X=0, Y=0, Z=0)",20,,,0,3,None; None; None,
15050100009,15050100009,,Dam_Iris,,22,,,"(X=0, Y=0, Z=0)",20,,,0,3,None; None,
15050100010,15050100010,,Dam_Iris,,22,,,"(X=0, Y=0, Z=0)",20,,,0,3,None; None,
15050100011,15050100011,,Dam_Iris,,22,,,"(X=0, Y=0, Z=0)",20,,,0,3,None; None; None,
15050100012,15050100012,,Dam_Iris,,22,,,"(X=0, Y=0, Z=0)",20,,,0,3,None; None; None,
15050100013,15050100013,,Dam_Iris,,22,,,"(X=0, Y=0, Z=0)",20,,,0,3,None; None; None,
15050100014,15050100014,,Dam_Iris,,22,,,"(X=0, Y=0, Z=0)",20,,,0,3,None; None; None,
15050100015,15050100015,,Dam_Iris,,22,,,"(X=0, Y=0, Z=0)",20,,,0,3,None; None; None,
15050100016,15050100016,,Dam_Iris,,22,,,"(X=0, Y=0, Z=0)",20,,,0,3,None; None; None,
15050100017,15050100017,,Dam_Iris,,22,,,"(X=0, Y=0, Z=0)",20,,,0,3,None; None; None,
15050100018,15050100018,,Dam_Iris,,22,,,"(X=0, Y=0, Z=0)",20,,,0,2,None; None; None,
15050100019,15050100019,,Dam_Iris,,22,,,"(X=0, Y=0, Z=0)",20,,,0,2,None; None; None,
15050100020,15050100020,,Dam_Iris,,22,,,"(X=0, Y=0, Z=0)",20,,,0,2,None; None; None,
15050100021,15050100021,,Dam_Iris,,22,,,"(X=0, Y=0, Z=0)",20,,,0,2,None; None; None,
15050100022,15050100022,,Dam_Iris,,22,,,"(X=0, Y=0, Z=0)",20,,,0,4,None; None; None,
15050100055,15050100055,,Dam_Iris,,22,,,"(X=0, Y=0, Z=0)",1,,,0,0,,
15050100056,15050100056,,Dam_Iris,,22,,,"(X=0, Y=0, Z=0)",1,,,0,0,,
15050100057,15050100057,,Dam_Iris,,22,,,"(X=0, Y=0, Z=0)",1,,,0,0,,
15050101001,15050101001,,Dam_Iris,,22,,,"(X=0, Y=0, Z=0)",4,,,0,3,None; None,
15050101002,15050101002,,Dam_Iris,,22,,,"(X=0, Y=0, Z=0)",4,,,0,1,None; None; None,
15050101003,15050101003,,Dam_Iris,,22,,,"(X=0, Y=0, Z=0)",4,,,0,3,None; None,
15050101004,15050101004,,Dam_Iris,,22,,,"(X=0, Y=0, Z=0)",4,,,0,3,None; None; None,
15050101005,15050101005,,Dam_Iris,,22,,,"(X=0, Y=0, Z=0)",4,,,0,3,None; None,
15050101006,15050101006,,Dam_Iris,,22,,,"(X=0, Y=0, Z=0)",4,,,0,3,None; None; None,
15050101007,15050101007,,Dam_Iris,,22,,,"(X=0, Y=0, Z=0)",4,,,0,3,None,
15050101008,15050101008,,Dam_Iris,,22,,,"(X=0, Y=0, Z=0)",4,,,0,3,None; None; None,
15050101009,15050101009,,Dam_Iris,,22,,,"(X=0, Y=0, Z=0)",4,,,0,3,None; None,
15050101010,15050101010,,Dam_Iris,,22,,,"(X=0, Y=0, Z=0)",4,,,0,3,None; None,
15050101011,15050101011,,Dam_Iris,,22,,,"(X=0, Y=0, Z=0)",4,,,0,3,None; None; None,
15050101012,15050101012,,Dam_Iris,,22,,,"(X=0, Y=0, Z=0)",4,,,0,3,None; None; None,
15050101013,15050101013,,Dam_Iris,,22,,,"(X=0, Y=0, Z=0)",4,,,0,3,None; None; None,
15050101014,15050101014,,Dam_Iris,,22,,,"(X=0, Y=0, Z=0)",4,,,0,3,None; None; None,
15050101015,15050101015,,Dam_Iris,,22,,,"(X=0, Y=0, Z=0)",4,,,0,3,None; None; None,
15050101016,15050101016,,Dam_Iris,,22,,,"(X=0, Y=0, Z=0)",4,,,0,3,None; None; None,
15050101017,15050101017,,Dam_Iris,,22,,,"(X=0, Y=0, Z=0)",4,,,0,3,None; None; None,
15050101018,15050101018,,Dam_Iris,,22,,,"(X=0, Y=0, Z=0)",4,,,0,2,None; None; None,
15050101019,15050101019,,Dam_Iris,,22,,,"(X=0, Y=0, Z=0)",4,,,0,2,None; None; None,
15050101020,15050101020,,Dam_Iris,,22,,,"(X=0, Y=0, Z=0)",4,,,0,2,None; None; None,
15050101021,15050101021,,Dam_Iris,,22,,,"(X=0, Y=0, Z=0)",4,,,0,2,None; None; None,
15050101022,15050101022,,Dam_Iris,,22,,,"(X=0, Y=0, Z=0)",4,,,0,4,None; None; None,
15050300001,15050300001,,Forrest,,19,,,"(X=0, Y=0, Z=0)",20,,,0,1,,
15050300002,15050300002,,Forrest,,19,,,"(X=0, Y=0, Z=0)",20,,,0,2,,
15050300003,15050300003,,Forrest,,19,,,"(X=0, Y=0, Z=0)",20,,,0,3,,
15050300004,15050300004,,Forrest,,19,,,"(X=0, Y=0, Z=0)",20,,,0,5,,
15050300005,15050300005,,Forrest,,19,,,"(X=0, Y=0, Z=0)",20,,,0,4,,
15050300006,15050300006,,Forrest,,19,,,"(X=0, Y=0, Z=0)",20,,,0,3,,
15050300007,15050300007,,Forrest,,19,,,"(X=0, Y=0, Z=0)",20,,,0,5,,
15050300008,15050300008,,Forrest,,19,,,"(X=0, Y=0, Z=0)",20,,,0,3,,
15050300009,15050300009,,Forrest,,19,,,"(X=0, Y=0, Z=0)",20,,,0,3,,
15050300010,15050300010,,Forrest,,19,,,"(X=0, Y=0, Z=0)",20,,,0,4,,
15050300011,15050300011,,Forrest,,19,,,"(X=0, Y=0, Z=0)",20,,,0,4,,
15050300012,15050300012,,Forrest,,19,,,"(X=0, Y=0, Z=0)",20,,,0,3,,
15050300013,15050300013,,Forrest,,19,,,"(X=0, Y=0, Z=0)",20,,,0,0,,
15050300014,15050300014,,Forrest,,19,,,"(X=0, Y=0, Z=0)",20,,,0,1,,
15050300015,15050300015,,Forrest,,19,,,"(X=0, Y=0, Z=0)",20,,,0,2,,
15050300016,15050300016,,Forrest,,19,,,"(X=0, Y=0, Z=0)",20,,,0,2,,
15050300017,15050300017,,Forrest,,19,,,"(X=0, Y=0, Z=0)",20,,,0,3,,
15050300018,15050300018,,Forrest,,19,,,"(X=0, Y=0, Z=0)",20,,,0,3,,
15050300019,15050300019,,Forrest,,19,,,"(X=0, Y=0, Z=0)",20,,,0,2,,
15050300020,15050300020,,Forrest,,19,,,"(X=0, Y=0, Z=0)",20,,,0,2,,
15050300021,15050300021,,Forrest,,19,,,"(X=0, Y=0, Z=0)",20,,,0,3,,
15050300022,15050300022,,Forrest,,19,,,"(X=0, Y=0, Z=0)",20,,,0,3,,
15050300023,15050300023,,Forrest,,19,,,"(X=0, Y=0, Z=0)",20,,,0,3,,
15050300024,15050300024,,Forrest,,19,,,"(X=0, Y=0, Z=0)",20,,,0,3,,
15050300025,15050300025,,Forrest,,19,,,"(X=0, Y=0, Z=0)",20,,,0,2,,
15050300026,15050300026,,Forrest,,19,,,"(X=0, Y=0, Z=0)",20,,,0,2,,
15050300027,15050300027,,Forrest,,19,,,"(X=0, Y=0, Z=0)",20,,,0,4,,
15050300028,15050300028,,Forrest,,19,,,"(X=0, Y=0, Z=0)",20,,,0,4,,
15050300029,15050300029,,Forrest,,19,,,"(X=0, Y=0, Z=0)",20,,,0,4,,
15050300030,15050300030,,Forrest,,19,,,"(X=0, Y=0, Z=0)",20,,,0,4,,
15050300031,15050300031,,Forrest,,19,,,"(X=0, Y=0, Z=0)",20,,,0,4,,
15050300032,15050300032,,Forrest,,19,,,"(X=0, Y=0, Z=0)",20,,,0,4,,
15050300033,15050300033,,Forrest,,19,,,"(X=0, Y=0, Z=0)",20,,,0,4,,
15050301001,15050301001,,Forrest,,19,,,"(X=0, Y=0, Z=0)",4,,,0,0,,
15050301002,15050301002,,Forrest,,19,,,"(X=0, Y=0, Z=0)",4,,,0,0,,
15050301003,15050301003,,Forrest,,19,,,"(X=0, Y=0, Z=0)",4,,,0,0,,
