RowName,UniqueID
大坝_水泥厂_宿舍区二楼_分类_工具建材_85-56,大坝_水泥厂_宿舍区二楼_分类_工具建材_85-56
大坝_水泥厂_宿舍区二楼_分类_工具建材_87-60,大坝_水泥厂_宿舍区二楼_分类_工具建材_87-60
大坝_水泥厂_宿舍区二楼_分类_工具建材_90-67,大坝_水泥厂_宿舍区二楼_分类_工具建材_90-67
大坝_水泥厂_水泥处理房钥匙房_分类_工具建材(建材燃料)_52-24,大坝_水泥厂_水泥处理房钥匙房_分类_工具建材(建材燃料)_52-24
大坝_水泥厂_水泥处理房钥匙房_分类_工具建材(建材燃料)_59-21,大坝_水泥厂_水泥处理房钥匙房_分类_工具建材(建材燃料)_59-21
大坝_水泥厂_水泥处理房钥匙房_分类_工具建材(建材燃料)_66-18,大坝_水泥厂_水泥处理房钥匙房_分类_工具建材(建材燃料)_66-18
大坝_水泥厂_水泥处理房钥匙房_高价值_地区特产_74-15,大坝_水泥厂_水泥处理房钥匙房_高价值_地区特产_74-15
大坝_军营_主楼二楼_分类_医疗_22-53,大坝_军营_主楼二楼_分类_医疗_22-53
大坝_军营_主楼二楼_分类_医疗_88-32,大坝_军营_主楼二楼_分类_医疗_88-32
大坝_军营_主楼二楼_分类_情报文件_36-56,大坝_军营_主楼二楼_分类_情报文件_36-56
大坝_军营_主楼二楼_分类_情报文件_47-64,大坝_军营_主楼二楼_分类_情报文件_47-64
大坝_军营_主楼二楼_分类_情报文件_53-69,大坝_军营_主楼二楼_分类_情报文件_53-69
大坝_军营_主楼二楼_分类_电子(军用仪器)_1-83,大坝_军营_主楼二楼_分类_电子(军用仪器)_1-83
大坝_军营_主楼二楼_分类_电子(军用仪器)_16-82,大坝_军营_主楼二楼_分类_电子(军用仪器)_16-82
大坝_军营_主楼二楼_分类_电子(军用仪器)_16-94,大坝_军营_主楼二楼_分类_电子(军用仪器)_16-94
大坝_军营_主楼二楼_分类_电子(军用仪器)_22-60,大坝_军营_主楼二楼_分类_电子(军用仪器)_22-60
大坝_军营_主楼二楼_分类_电子(军用仪器)_26-63,大坝_军营_主楼二楼_分类_电子(军用仪器)_26-63
大坝_军营_主楼二楼_分类_电子(军用仪器)_9-81,大坝_军营_主楼二楼_分类_电子(军用仪器)_9-81
大坝_军营_主楼二楼_高价值_地区特产_0-89,大坝_军营_主楼二楼_高价值_地区特产_0-89
大坝_合同_小电站一楼_分类_情报文件_63-2,大坝_合同_小电站一楼_分类_情报文件_63-2
大坝_合同_小电站一楼_分类_情报文件_65-7,大坝_合同_小电站一楼_分类_情报文件_65-7
大坝_合同_小电站一楼_分类_情报文件_68-12,大坝_合同_小电站一楼_分类_情报文件_68-12
大坝_合同_小电站一楼_分类_情报文件_71-17,大坝_合同_小电站一楼_分类_情报文件_71-17
大坝_合同_小电站一楼_分类_情报文件_75-24,大坝_合同_小电站一楼_分类_情报文件_75-24
大坝_合同_小电站一楼_分类_情报文件_76-28,大坝_合同_小电站一楼_分类_情报文件_76-28
大坝_合同_小电站一楼_分类_情报文件_78-31,大坝_合同_小电站一楼_分类_情报文件_78-31
大坝_合同_小电站一楼_分类_情报文件_79-35,大坝_合同_小电站一楼_分类_情报文件_79-35
大坝_合同_小电站一楼_分类_情报文件_81-37,大坝_合同_小电站一楼_分类_情报文件_81-37
大坝_合同_小电站一楼_分类_情报文件_82-41,大坝_合同_小电站一楼_分类_情报文件_82-41
大坝_行政楼_东楼二楼厕所一_高价值_地区特产_88-91,大坝_行政楼_东楼二楼厕所一_高价值_地区特产_88-91
大坝_大坝内部_金库房_分类_工具建材(建材燃料)_68-21,大坝_大坝内部_金库房_分类_工具建材(建材燃料)_68-21
大坝_大坝内部_金库_分类_贵重_0-7,大坝_大坝内部_金库_分类_贵重_0-7
大坝_大坝内部_金库_分类_贵重_12-27,大坝_大坝内部_金库_分类_贵重_12-27
大坝_大坝内部_金库_分类_贵重_12-2,大坝_大坝内部_金库_分类_贵重_12-2
大坝_大坝内部_金库_分类_贵重_12-57,大坝_大坝内部_金库_分类_贵重_12-57
大坝_大坝内部_金库_分类_贵重_12-88,大坝_大坝内部_金库_分类_贵重_12-88
大坝_大坝内部_金库_分类_贵重_13-25,大坝_大坝内部_金库_分类_贵重_13-25
大坝_大坝内部_金库_分类_贵重_19-22,大坝_大坝内部_金库_分类_贵重_19-22
大坝_大坝内部_金库_分类_贵重_3-37,大坝_大坝内部_金库_分类_贵重_3-37
大坝_大坝内部_金库_分类_贵重_46-98,大坝_大坝内部_金库_分类_贵重_46-98
