RowName,ID,MatchModeID,ConsumableID,WeaponBulletGroupID,EquipItemGroupID
1,1,142202113,32332000001,201,2001
2,2,142202113,32332000001,201,2002
3,3,142202113,32332000001,201,2003
4,4,142202113,32332000001,201,2004
5,5,142202113,32332000001,201,2005
6,6,142202113,32332000001,201,2006
7,7,142202113,32332000001,201,2007
8,8,142202113,32332000001,201,2008
9,9,142202113,32332000001,201,2009
10,10,142202113,32332000001,201,2010
11,11,142202113,32332000001,201,2011
12,12,142202113,32332000001,201,2012
13,13,142202113,32332000001,202,2001
14,14,142202113,32332000001,202,2002
15,15,142202113,32332000001,202,2003
16,16,142202113,32332000001,202,2004
17,17,142202113,32332000001,202,2005
18,18,142202113,32332000001,202,2006
19,19,142202113,32332000001,202,2007
20,20,142202113,32332000001,202,2008
21,21,142202113,32332000001,202,2009
22,22,142202113,32332000001,202,2010
23,23,142202113,32332000001,202,2011
24,24,142202113,32332000001,202,2012
25,25,142202113,32332000001,203,2001
26,26,142202113,32332000001,203,2002
27,27,142202113,32332000001,203,2003
28,28,142202113,32332000001,203,2004
29,29,142202113,32332000001,203,2005
30,30,142202113,32332000001,203,2006
31,31,142202113,32332000001,203,2007
32,32,142202113,32332000001,203,2008
33,33,142202113,32332000001,203,2009
34,34,142202113,32332000001,203,2010
35,35,142202113,32332000001,203,2011
36,36,142202113,32332000001,203,2012
37,37,142202113,32332000001,204,2001
38,38,142202113,32332000001,204,2002
39,39,142202113,32332000001,204,2003
40,40,142202113,32332000001,204,2004
41,41,142202113,32332000001,204,2005
42,42,142202113,32332000001,204,2006
43,43,142202113,32332000001,204,2007
44,44,142202113,32332000001,204,2008
45,45,142202113,32332000001,204,2009
46,46,142202113,32332000001,204,2010
47,47,142202113,32332000001,204,2011
48,48,142202113,32332000001,204,2012
49,49,142202113,32332000001,205,2001
50,50,142202113,32332000001,205,2002
51,51,142202113,32332000001,205,2003
52,52,142202113,32332000001,205,2004
53,53,142202113,32332000001,205,2005
54,54,142202113,32332000001,205,2006
55,55,142202113,32332000001,205,2007
56,56,142202113,32332000001,205,2008
57,57,142202113,32332000001,205,2009
58,58,142202113,32332000001,205,2010
59,59,142202113,32332000001,205,2011
60,60,142202113,32332000001,205,2012
61,61,142202113,32332000001,206,2001
62,62,142202113,32332000001,206,2002
63,63,142202113,32332000001,206,2003
64,64,142202113,32332000001,206,2004
65,65,142202113,32332000001,206,2005
66,66,142202113,32332000001,206,2006
67,67,142202113,32332000001,206,2007
68,68,142202113,32332000001,206,2008
69,69,142202113,32332000001,206,2009
70,70,142202113,32332000001,206,2010
71,71,142202113,32332000001,206,2011
72,72,142202113,32332000001,206,2012
73,73,142202113,32332000001,207,2001
74,74,142202113,32332000001,207,2002
75,75,142202113,32332000001,207,2003
76,76,142202113,32332000001,207,2004
77,77,142202113,32332000001,207,2005
78,78,142202113,32332000001,207,2006
79,79,142202113,32332000001,207,2007
80,80,142202113,32332000001,207,2008
81,81,142202113,32332000001,207,2009
82,82,142202113,32332000001,207,2010
83,83,142202113,32332000001,207,2011
84,84,142202113,32332000001,207,2012
85,85,142202113,32332000001,208,2001
86,86,142202113,32332000001,208,2002
87,87,142202113,32332000001,208,2003
