RowName,GoalID,Desc,RowDescription
10203301001,10203301001,,None
10203301002,10203301002,,None
10203301003,10203301003,,None
10203301004,10203301004,,None
10203301005,10203301005,,None
10200501006,10200501006,,None
10200501007,10200501007,,None
10203301008,10203301008,,None
10203701009,10203701009,,None
10200501010,10200501010,,None
10200401011,10200401011,,None
10203401012,10203401012,,None
10204301013,10204301013,,None
10200501014,10200501014,,None
10200501015,10200501015,,None
10202201016,10202201016,,None
10200501017,10200501017,,None
10200501018,10200501018,,None
10200501019,10200501019,,None
10200501020,10200501020,,None
10200401021,10200401021,,None
10200501022,10200501022,,None
10204501023,10204501023,,None
10200501024,10200501024,,None
10203301025,10203301025,,None
10200401026,10200401026,,None
10200501027,10200501027,,None
10203901028,10203901028,,None
10200501029,10200501029,,None
10200501030,10200501030,,None
10200501031,10200501031,,None
10200401032,10200401032,,None
10204501033,10204501033,,None
10200501034,10200501034,,None
10203701091,10203701091,,None
10200501092,10200501092,,None
10204501093,10204501093,,None
10200501094,10200501094,,None
10203301095,10203301095,,None
10203305011,10203305011,,None
10203305012,10203305012,,None
10203305013,10203305013,,None
10203705021,10203705021,,None
10200505022,10200505022,,None
10203305023,10203305023,,None
10203305031,10203305031,,None
10203305032,10203305032,,None
10203805033,10203805033,,None
10200505041,10200505041,,None
10200405042,10200405042,,None
10203405043,10203405043,,None
10204305044,10204305044,,None
10200505045,10200505045,,None
10200505051,10200505051,,None
10202205052,10202205052,,None
10200505053,10200505053,,None
10200505054,10200505054,,None
10200505055,10200505055,,None
10200505061,10200505061,,None
10200405062,10200405062,,None
10201205063,10201205063,,None
10204505064,10204505064,,None
10200505065,10200505065,,None
10200505071,10200505071,,None
10200405072,10200405072,,None
10211605073,10211605073,,None
10203905074,10203905074,,None
10203305075,10203305075,,None
10204505081,10204505081,,None
10200505082,10200505082,,None
10200405083,10200405083,,None
10204505084,10204505084,,None
10200505085,10200505085,,None
10203705091,10203705091,,None
10200505092,10200505092,,None
10204505093,10204505093,,None
10200505094,10200505094,,None
10204505095,10204505095,,None
10203310011,10203310011,,None
10203310012,10203310012,,None
10203310013,10203310013,,None
10203310021,10203310021,,None
10203710022,10203710022,,None
10203310023,10203310023,,None
10200510031,10200510031,,None
10203310032,10203310032,,None
10203810033,10203810033,,None
10200510041,10200510041,,None
10200410042,10200410042,,None
10203410043,10203410043,,None
10204310044,10204310044,,None
10200510045,10200510045,,None
10200510051,10200510051,,None
10202210052,10202210052,,None
10200510053,10200510053,,None
10200510054,10200510054,,None
10200510055,10200510055,,None
10200510061,10200510061,,None
10200410062,10200410062,,None
10201210063,10201210063,,None
10204510064,10204510064,,None
10200510065,10200510065,,None
10200510071,10200510071,,None
10200410072,10200410072,,None
10211610073,10211610073,,None
10203910074,10203910074,,None
10200510075,10200510075,,None
10200510081,10200510081,,None
10200510082,10200510082,,None
10200410083,10200410083,,None
10204510084,10204510084,,None
10204510085,10204510085,,None
10203710091,10203710091,,None
10200510092,10200510092,,None
10200510093,10200510093,,None
10200510094,10200510094,,None
10204510095,10204510095,,None
10203311011,10203311011,,None
10203311012,10203311012,,None
10203311013,10203311013,,None
10200511021,10200511021,,None
10203711022,10203711022,,None
10203311023,10203311023,,None
10200511031,10200511031,,None
10203311032,10203311032,,None
10203311033,10203311033,,None
10200511041,10200511041,,None
10200411042,10200411042,,None
10203411043,10203411043,,None
10204311044,10204311044,,None
10200511045,10200511045,,None
10200511051,10200511051,,None
10202211052,10202211052,,None
10200511053,10200511053,,None
10200511054,10200511054,,None
10200511055,10200511055,,None
10200511061,10200511061,,None
10200411062,10200411062,,None
10201211063,10201211063,,None
10204511064,10204511064,,None
10200511065,10200511065,,None
10203311071,10203311071,,None
10200411072,10200411072,,None
10211611073,10211611073,,None
10203911074,10203911074,,None
10200511075,10200511075,,None
10203311081,10203311081,,None
10200511082,10200511082,,None
10200411083,10200411083,,None
10204511084,10204511084,,None
10204511085,10204511085,,None
10203711091,10203711091,,None
10200511092,10200511092,,None
10203311093,10203311093,,None
10200511094,10200511094,,None
10203311095,10203311095,,None
10200400020,10200400020,,None
10200400021,10200400021,,None
10200400022,10200400022,,None
10200400023,10200400023,,None
10200400024,10200400024,,None
10200400025,10200400025,,None
10200400026,10200400026,,None
10200400027,10200400027,,None
10200400028,10200400028,,None
10203304011,10203304011,,None
