RowName,MatchSubMode,MatchSubModeName,MatchSubModeFullName,MatchSubModeDesc,RowDescription
10,10,,,,None
11,11,,,,None
12,12,,,,None
13,13,,,,None
14,14,,,,None
15,15,,,,None
16,16,,,,None
17,17,,,,None
20,20,,,,None
21,21,,,,None
22,22,,,,None
23,23,,,,None
24,24,,,,None
41,41,,,,None
42,42,,,,None
51,51,,,,None
61,61,,,,None
62,62,,,,None
63,63,,,,None
64,64,,,,None
65,65,,,,None
66,66,,,,None
67,67,,,,None
68,68,,,,None
69,69,,,,None
70,70,,,,None
71,71,,,,None
72,72,,,,None
73,73,,,,None
74,74,,,,None
75,75,,,,None
76,76,,,,None
77,77,,,,None
78,78,,,,None
79,79,,,,None
80,80,,,,None
81,81,,,,None
82,82,,,,None
83,83,,,,None
84,84,,,,None
85,85,,,,None
86,86,,,,None
87,87,,,,None
88,88,,,,None
89,89,,,,None
90,90,,,,None
91,91,,,,None
