RowName,ID,WeaponBulletGroupID,ItemID,Position,ItemNum,WeaponBulletGroupPrice,WeaponCouponPrice
1,1,201,10010003552,111,1,0,0
2,2,201,37280400001,199997,30,0,0
3,3,201,37280300001,199997,180,450000,300000
4,4,202,10010003561,111,1,0,0
5,5,202,37100400001,199997,30,0,0
6,6,202,37100300001,199997,180,400000,250000
7,7,203,10010003565,111,1,0,0
9,9,203,37170400001,199997,30,0,0
10,10,203,37170300001,199997,120,350000,250000
11,11,204,10010003567,111,1,0,0
12,12,204,37170400001,199997,30,0,0
13,13,204,37170300001,199997,150,450000,300000
14,14,205,10010003569,111,1,0,0
15,15,205,37120400001,199997,30,0,0
16,16,205,37120300001,199997,150,350000,250000
17,17,206,10010003571,111,1,0,0
18,18,206,37100400001,199997,30,0,0
19,19,206,37100300001,199997,180,400000,250000
20,20,207,10010003579,111,1,0,0
21,21,207,37100400001,199997,20,0,0
22,22,207,37100300001,199997,90,350000,300000
23,23,208,10010003583,111,1,0,0
24,24,208,37120400001,199997,30,0,0
25,25,208,37120300001,199997,150,300000,200000
26,26,209,10020003593,111,1,0,0
27,27,209,37260400001,199997,48,0,0
28,28,209,37260300001,199997,180,350000,200000
29,29,210,10020003598,111,1,0,0
30,30,210,37200400001,199997,45,0,0
31,31,210,37200300001,199997,180,450000,350000
32,32,211,10020003601,111,1,0,0
33,33,211,37190400001,199997,40,0,0
34,34,211,37190300001,199997,180,500000,300000
35,35,212,10020003602,111,1,0,0
36,36,212,37200400001,199997,30,0,0
37,37,212,37200300001,199997,180,350000,250000
38,38,213,10020003603,111,1,0,0
39,39,213,37200400001,199997,40,0,0
40,40,213,37200300001,199997,180,400000,250000
41,41,214,10020003607,111,1,0,0
42,42,214,37200400001,199997,30,0,0
43,43,214,37200300001,199997,180,350000,250000
44,44,215,10030003638,111,1,0,0
45,45,215,37250400003,199997,60,450000,350000
46,46,216,10030003609,111,1,0,0
47,47,216,37250400003,199997,60,350000,250000
48,48,217,10040003615,111,1,0,0
49,49,217,37100300001,199997,300,400000,250000
50,50,218,10040003617,111,1,0,0
51,51,218,37180300001,199997,240,400000,250000
52,52,219,10150003619,111,1,0,0
53,53,219,37270500001,199997,5,0,0
54,54,219,37270400001,199997,15,250000,200000
55,55,220,10050003626,111,1,0,0
56,56,220,37100400001,199997,30,0,0
57,57,220,37100300001,199997,60,400000,300000
58,58,221,10050003628,111,1,0,0
59,59,221,37140400001,199997,30,0,0
60,60,221,37140300001,199997,120,300000,150000
61,61,301,10010003555,111,1,0,0
62,62,301,37120400001,199997,180,750000,550000
63,63,302,10010003556,111,1,0,0
64,64,302,37280400002,199997,150,800000,600000
65,65,303,10010003562,111,1,0,0
66,66,303,37100400001,199997,180,750000,400000
67,67,304,10010003563,111,1,0,0
68,68,304,37110400001,199997,240,500000,250000
69,69,305,10010003566,111,1,0,0
70,70,305,37170400001,199997,120,550000,350000
71,71,306,10010003568,111,1,0,0
72,72,306,37170400001,199997,120,750000,600000
73,73,307,10010003570,111,1,0,0
74,74,307,37120400001,199997,180,600000,400000
75,75,308,10010003572,111,1,0,0
76,76,308,37100400001,199997,180,600000,350000
77,77,309,10010003578,111,1,0,0
78,78,309,37100400001,199997,180,650000,400000
79,79,310,10010003580,111,1,0,0
80,80,310,37160400002,199997,90,550000,300000
81,81,311,10010003584,111,1,0,0
82,82,311,37120400001,199997,180,650000,400000
83,83,312,10010003586,111,1,0,0
84,84,312,37130400001,199997,240,650000,200000
85,85,313,10010003587,111,1,0,0
86,86,313,37110400001,199997,180,500000,300000
87,87,314,10010003589,111,1,0,0
88,88,314,37110400001,199997,240,550000,300000
89,89,315,10010003591,111,1,0,0
90,90,315,37100400001,199997,180,650000,400000
91,91,316,10010003592,111,1,0,0
92,92,316,37100400001,199997,180,700000,450000
93,93,317,10020003594,111,1,0,0
94,94,317,37200400001,199997,180,700000,450000
95,95,318,10020003596,111,1,0,0
96,96,318,37260400001,199997,210,750000,450000
97,97,319,10020003599,111,1,0,0
98,98,319,37140400001,199997,120,600000,400000
99,99,320,10020003604,111,1,0,0
100,100,320,37190400001,199997,210,800000,400000
101,101,321,10020003606,111,1,0,0
102,102,321,37210400001,199997,180,750000,450000
103,103,322,10040003616,111,1,0,0
104,104,322,37100400001,199997,60,0,0
105,105,322,37100300001,199997,180,650000,450000
106,106,323,10050003627,111,1,0,0
107,107,323,37100500001,199997,15,0,0
108,108,323,37100400001,199997,60,550000,400000
109,109,324,10060003632,111,1,0,0
110,110,324,10070003638,114,1,0,0
111,111,324,37170500001,199997,10,0,0
112,112,324,37170400001,199997,10,0,0
113,113,324,37200000001,199997,120,650000,300000
114,114,325,10060003633,111,1,0,0
115,115,325,10070003640,114,1,0,0
116,116,325,37170500001,199997,15,0,0
117,117,325,37170400001,199997,10,0,0
118,118,325,37200400001,199997,60,550000,300000
119,119,326,10060003634,111,1,0,0
120,120,326,10070003639,114,1,0,0
121,121,326,37180500001,199997,15,0,0
122,122,326,37180400001,199997,60,0,0
123,123,326,37230400001,199997,60,550000,400000
124,124,401,10010003554,111,1,0,0
