RowName,Key,TypeID,PresetID,PresetTitle,Position,ItemId,ItemNum,ConsumableID,RefreshPrice,RowDescription
1,1,1,1,,111,10010001471,1,32330000001,2000,None
2,2,1,1,,101,11010001003,1,32330000001,2000,None
3,3,1,1,,105,11050002003,1,32330000001,2000,None
4,4,1,1,,107,11070001003,1,32330000001,2000,None
5,5,1,1,,108,11080002003,1,32330000001,2000,None
6,6,1,1,,107001,14020000002,2,32330000001,2000,None
7,7,1,1,,107001,14030000001,1,32330000001,2000,None
8,8,1,1,,107001,37120100001,30,32330000001,2000,None
9,9,1,1,,199997,37120100001,240,32330000001,2000,None
10,10,1,2,,111,10010001661,1,32330000001,2000,None
11,11,1,2,,101,11010001004,1,32330000001,2000,None
12,12,1,2,,105,11050002004,1,32330000001,2000,None
13,13,1,2,,107,11070001004,1,32330000001,2000,None
14,14,1,2,,108,11080002004,1,32330000001,2000,None
15,15,1,2,,107001,14020000002,2,32330000001,2000,None
16,16,1,2,,107001,14030000001,1,32330000001,2000,None
17,17,1,2,,107001,37100100001,30,32330000001,2000,None
18,18,1,2,,199997,37100100001,240,32330000001,2000,None
19,19,2,1,,111,10020000013,1,32330000001,2000,None
20,20,2,1,,101,11010002003,1,32330000001,2000,None
21,21,2,1,,105,11050002003,1,32330000001,2000,None
22,22,2,1,,107,11070002003,1,32330000001,2000,None
23,23,2,1,,108,11080002003,1,32330000001,2000,None
24,24,2,1,,107001,14020000003,2,32330000001,2000,None
25,25,2,1,,107001,14030000001,2,32330000001,2000,None
26,26,2,1,,107001,37200100001,30,32330000001,2000,None
27,27,2,1,,199997,37200100001,240,32330000001,2000,None
28,28,2,2,,111,10020000014,1,32330000001,2000,None
29,29,2,2,,101,11010002002,1,32330000001,2000,None
30,30,2,2,,105,11050002002,1,32330000001,2000,None
31,31,2,2,,107,11070002002,1,32330000001,2000,None
32,32,2,2,,108,11080002002,1,32330000001,2000,None
33,33,2,2,,107001,14020000003,2,32330000001,2000,None
34,34,2,2,,107001,14030000001,2,32330000001,2000,None
35,35,2,2,,107001,37200100001,30,32330000001,2000,None
36,36,2,2,,199997,37200100001,240,32330000001,2000,None
37,37,3,1,,111,10060001664,1,32330000001,2000,None
38,38,3,1,,101,11010001003,1,32330000001,2000,None
39,39,3,1,,105,11050001003,1,32330000001,2000,None
40,40,3,1,,107,11070001003,1,32330000001,2000,None
41,41,3,1,,108,11080001004,1,32330000001,2000,None
42,42,3,1,,107001,14020000002,1,32330000001,2000,None
43,43,3,1,,199997,37180300001,50,32330000001,2000,None
44,44,3,2,,111,10050001662,1,32330000001,2000,None
45,45,3,2,,101,11010001004,1,32330000001,2000,None
46,46,3,2,,105,11050001004,1,32330000001,2000,None
47,47,3,2,,107,11070001004,1,32330000001,2000,None
48,48,3,2,,108,11080001005,1,32330000001,2000,None
49,49,3,2,,107001,14020000002,1,32330000001,2000,None
50,50,3,2,,199997,37100300001,60,32330000001,2000,None
51,51,3,3,,111,10060001663,1,32330000001,2000,None
52,52,3,3,,101,11010001002,1,32330000001,2000,None
53,53,3,3,,105,11050001002,1,32330000001,2000,None
54,54,3,3,,107,11070001002,1,32330000001,2000,None
55,55,3,3,,108,11080001003,1,32330000001,2000,None
56,56,3,3,,107001,14020000002,1,32330000001,2000,None
57,57,3,3,,199997,37170300001,50,32330000001,2000,None
58,58,1,1,,111,10010001821,1,32330000002,5000,None
59,59,1,1,,101,11010003002,1,32330000002,5000,None
60,60,1,1,,105,11050003002,1,32330000002,5000,None
61,61,1,1,,107,11070003002,1,32330000002,5000,None
