RowName,Index,ItemID,MapID,DefaultSlotNum,LevelSlotNums1,LevelSlotNums2,LevelSlotNums3,LevelSlotNums4,BoxLength,RowDescription
1,1,11120000001,19,4,0,0,0,0,4,None
2,2,11120000001,22,4,0,0,0,0,4,None
4,4,11120000002,19,6,0,0,0,0,4,None
5,5,11120000002,22,6,0,0,0,0,4,None
7,7,11120000003,19,9,0,0,0,0,5,None
8,8,11120000003,22,9,0,0,0,0,5,None
10,10,11120000004,19,12,0,0,0,0,5,None
11,11,11120000004,22,12,0,0,0,0,5,None
12,12,11120000011,19,6,0,0,0,0,4,None
13,13,11120000011,22,6,0,0,0,0,4,None
14,14,11120000012,19,9,0,0,0,0,5,None
15,15,11120000012,22,9,0,0,0,0,5,None
16,16,11120000013,19,12,0,0,0,0,5,None
17,17,11120000013,22,12,0,0,0,0,5,None
18,18,11120000001,39,4,0,0,0,0,4,None
19,19,11120000002,39,6,0,0,0,0,4,None
20,20,11120000011,39,6,0,0,0,0,4,None
21,21,11120000003,39,9,0,0,0,0,5,None
22,22,11120000012,39,9,0,0,0,0,5,None
23,23,11120000004,39,12,0,0,0,0,5,None
24,24,11120000013,39,12,0,0,0,0,5,None
25,25,11120000005,19,15,0,0,0,0,5,None
26,26,11120000005,22,15,0,0,0,0,5,None
27,27,11120000005,39,15,0,0,0,0,5,None
28,28,11120000015,19,15,0,0,0,0,5,None
29,29,11120000015,22,15,0,0,0,0,5,None
30,30,11120000015,39,15,0,0,0,0,5,None
31,31,11120000001,81,4,0,0,0,0,4,None
32,32,11120000002,81,6,0,0,0,0,4,None
33,33,11120000003,81,9,0,0,0,0,5,None
34,34,11120000004,81,12,0,0,0,0,5,None
35,35,11120000011,81,6,0,0,0,0,4,None
36,36,11120000012,81,9,0,0,0,0,5,None
37,37,11120000013,81,12,0,0,0,0,5,None
38,38,11120000005,81,15,0,0,0,0,5,None
39,39,11120000015,81,15,0,0,0,0,5,None
40,40,11120000022,19,6,0,0,0,0,4,None
41,41,11120000022,22,6,0,0,0,0,4,None
42,42,11120000022,39,6,0,0,0,0,4,None
43,43,11120000022,81,6,0,0,0,0,4,None
44,44,11120000022,88,6,0,0,0,0,4,None
45,45,11120000023,19,9,0,0,0,0,5,None
46,46,11120000023,22,9,0,0,0,0,5,None
47,47,11120000023,39,9,0,0,0,0,5,None
48,48,11120000023,81,9,0,0,0,0,5,None
49,49,11120000023,88,9,0,0,0,0,5,None
50,50,11120000024,19,12,0,0,0,0,5,None
51,51,11120000024,22,12,0,0,0,0,5,None
52,52,11120000024,39,12,0,0,0,0,5,None
53,53,11120000024,81,12,0,0,0,0,5,None
54,54,11120000024,88,12,0,0,0,0,5,None
55,55,11120000025,19,15,0,0,0,0,5,None
56,56,11120000025,22,15,0,0,0,0,5,None
57,57,11120000025,39,15,0,0,0,0,5,None
58,58,11120000025,81,15,0,0,0,0,5,None
59,59,11120000025,88,15,0,0,0,0,5,None
60,60,11120000032,19,6,0,0,0,0,4,None
61,61,11120000032,22,6,0,0,0,0,4,None
62,62,11120000032,39,6,0,0,0,0,4,None
63,63,11120000032,81,6,0,0,0,0,4,None
64,64,11120000032,88,6,0,0,0,0,4,None
65,65,11120000033,19,9,0,0,0,0,5,None
66,66,11120000033,22,9,0,0,0,0,5,None
67,67,11120000033,39,9,0,0,0,0,5,None
68,68,11120000033,81,9,0,0,0,0,5,None
69,69,11120000033,88,9,0,0,0,0,5,None
70,70,11120000034,19,12,0,0,0,0,5,None
71,71,11120000034,22,12,0,0,0,0,5,None
72,72,11120000034,39,12,0,0,0,0,5,None
73,73,11120000034,81,12,0,0,0,0,5,None
74,74,11120000034,88,12,0,0,0,0,5,None
75,75,11120000035,19,15,0,0,0,0,5,None
76,76,11120000035,22,15,0,0,0,0,5,None
77,77,11120000035,39,15,0,0,0,0,5,None
78,78,11120000035,81,15,0,0,0,0,5,None
79,79,11120000035,88,15,0,0,0,0,5,None
80,80,11120000042,19,6,0,0,0,0,4,None
81,81,11120000042,22,6,0,0,0,0,4,None
82,82,11120000042,39,6,0,0,0,0,4,None
83,83,11120000042,81,6,0,0,0,0,4,None
84,84,11120000042,88,6,0,0,0,0,4,None
85,85,11120000043,19,9,0,0,0,0,5,None
86,86,11120000043,22,9,0,0,0,0,5,None
87,87,11120000043,39,9,0,0,0,0,5,None
88,88,11120000043,81,9,0,0,0,0,5,None
89,89,11120000043,88,9,0,0,0,0,5,None
90,90,11120000044,19,12,0,0,0,0,5,None
91,91,11120000044,22,12,0,0,0,0,5,None
92,92,11120000044,39,12,0,0,0,0,5,None
93,93,11120000044,81,12,0,0,0,0,5,None
94,94,11120000044,88,12,0,0,0,0,5,None
95,95,11120000045,19,15,0,0,0,0,5,None
96,96,11120000045,22,15,0,0,0,0,5,None
97,97,11120000045,39,15,0,0,0,0,5,None
98,98,11120000045,81,15,0,0,0,0,5,None
99,99,11120000045,88,15,0,0,0,0,5,None
100,100,11120000001,88,4,0,0,0,0,4,None
101,101,11120000002,88,6,0,0,0,0,4,None
102,102,11120000003,88,9,0,0,0,0,5,None
103,103,11120000004,88,12,0,0,0,0,5,None
104,104,11120000011,88,6,0,0,0,0,4,None
105,105,11120000012,88,9,0,0,0,0,5,None
106,106,11120000013,88,12,0,0,0,0,5,None
107,107,11120000005,88,15,0,0,0,0,5,None
108,108,11120000015,88,15,0,0,0,0,5,None
